1,839136
2,213712
3,95726
5,73542
4,55158
6,31902
7,22317
8,16179
10,15369
9,12227
11,9356
12,7359
13,6043
15,5797
14,5070
16,4119
17,3431
18,2871
20,2710
19,2473
21,2205
22,1903
23,1572
25,1524
24,1457
26,1195
27,1150
28,942
30,932
29,867
31,745
32,711
33,633
35,582
34,550
36,530
37,468
40,448
38,434
39,381
41,343
42,341
43,314
45,300
44,297
46,251
47,233
50,217
48,214
49,212
53,178
51,175
52,164
55,161
54,151
56,147
57,135
59,133
60,131
58,121
61,106
62,105
65,96
63,85
66,83
67,81
64,81
70,79
71,73
72,69
69,69
68,64
78,58
74,54
82,54
75,53
80,52
73,52
85,51
79,50
81,49
84,47
76,47
77,46
89,41
90,40
91,37
101,34
83,32
94,32
86,31
92,28
87,28
100,28
106,26
102,26
97,25
99,25
88,24
95,24
98,23
105,23
93,23
104,23
111,19
96,18
107,17
123,17
126,16
110,16
108,16
112,16
115,15
113,15
117,15
121,15
103,14
125,14
114,13
120,12
109,12
119,12
128,11
118,11
129,11
136,10
146,10
138,10
151,10
116,9
132,9
144,8
139,8
134,8
159,8
156,8
140,8
167,7
135,7
169,7
153,7
142,7
127,7
141,7
137,7
124,6
131,6
147,6
155,6
130,6
143,6
150,6
122,6
148,6
196,5
157,5
197,5
160,5
175,5
180,5
145,5
181,5
170,5
154,5
174,4
213,4
163,4
173,4
165,4
222,4
227,4
161,4
158,4
166,4
244,4
164,4
204,4
201,3
207,3
214,3
179,3
171,3
269,3
162,3
152,3
188,3
190,3
221,3
209,3
177,3
168,3
324,3
218,3
192,3
245,3
230,3
241,2
202,2
275,2
255,2
236,2
246,2
257,2
185,2
186,2
391,2
194,2
217,2
282,2
191,2
232,2
268,2
183,2
193,2
250,2
219,2
200,2
176,2
216,2
335,2
195,2
133,2
297,2
261,2
273,2
270,1
299,1
184,1
463,1
149,1
264,1
229,1
212,1
450,1
402,1
215,1
389,1
178,1
446,1
276,1
242,1
226,1
307,1
646,1
294,1
323,1
535,1
283,1
355,1
290,1
433,1
426,1
233,1
308,1
372,1
351,1
582,1
597,1
291,1
231,1
476,1
311,1
259,1
281,1
267,1
317,1
340,1
348,1
237,1
198,1
228,1
274,1
262,1
187,1
203,1
234,1
239,1
253,1
384,1
423,1
500,1
537,1
923,1
345,1
220,1
454,1
478,1
206,1
199,1
265,1
329,1
172,1
374,1
256,1
445,1
354,1
189,1
240,1
211,1
